timestamp , luminance, accX, accY , accZ, accXwithG, accYwithG, accZwithG
993.010009765625, 47.46141264489563, 0.2634, -0.2289, 0.2881, 0.0051, -0.2798, 10.0913
1015.641845703125, 179.1533664570644, 0.2193, -0.0889, 0.0883, -0.0349, -0.1390, 9.8915
1029.77099609375, 179.44987076726403, -0.0758, -0.2837, -0.0168, -0.3279, -0.3322, 9.7865
1042.91796875, 181.15500947750508, -0.1419, 0.9080, 0.0544, -0.3929, 0.8606, 9.8577
1078.0419921875, 182.07508879181088, 0.1782, -0.0355, 0.0374, -0.0721, -0.0822, 9.8408
1109.70703125, 182.5949482693682, 0.0987, 0.0240, 0.0265, -0.1460, -0.0238, 9.8300
1147.58203125, 180.89037297958666, 0.1509, 0.0365, 0.0314, -0.0958, 0.0115, 9.8349
1178.951904296875, 174.1612022694327, 0.1388, 0.0449, 0.0178, -0.1031, 0.0204, 9.8215
1210.869140625, 165.94567171435386, 0.1122, 0.0198, 0.0167, -0.1254, -0.0042, 9.8204
1244.718017578125, 165.62437311015944, 0.1286, 0.0233, 0.0179, -0.1049, 0.0006, 9.8218
1279.3671875, 156.8191137714252, 0.1074, 0.0182, 0.0219, -0.1224, -0.0034, 9.8258
1311.448974609375, 156.75624653062857, 0.1138, 0.0353, 0.0248, -0.1115, 0.0147, 9.8288
1345.510009765625, 147.42494444086066, 0.0992, 0.0160, -0.0097, -0.1227, -0.0043, 9.7944
1377.360107421875, 141.49952836741488, 0.0781, 0.0275, 0.0403, -0.1405, 0.0079, 9.8445
1414.675048828125, 135.14947626132943, 0.1309, 0.0386, 0.0016, -0.0835, 0.0204, 9.8059
1445.778076171875, 141.8920140163907, 0.0420, -0.0186, 0.0095, -0.1703, -0.0370, 9.8138
1479.841796875, 124.72509303677577, 0.1078, 0.0362, 0.0212, -0.1009, 0.0195, 9.8257
1512.7890625, 118.40131631025412, 0.0762, 0.0179, 0.0237, -0.1281, 0.0027, 9.8282
1546.220947265625, 116.67222870206666, 0.0855, 0.0165, 0.0157, -0.1175, 0.0003, 9.8203
1578.8330078125, 124.87390724897281, 0.1111, 0.0300, 0.0303, -0.0884, 0.0144, 9.8349
1610.98583984375, 91.31239640810935, 0.0523, 0.0038, 0.0319, -0.1441, -0.0111, 9.8366
1647.06201171875, 24.64981316734399, 0.0948, 0.0446, 0.0407, -0.0983, 0.0308, 9.8454
1677.81396484375, 31.239311240801108, 0.0797, 0.0036, 0.0271, -0.1107, -0.0094, 9.8319
1710.898193359375, 35.99355719181673, 0.0786, 0.0134, 0.0190, -0.1092, 0.0007, 9.8239
1744.483154296875, 37.678066906126624, 0.0694, 0.0138, 0.0215, -0.1166, 0.0015, 9.8264
1778.736083984375, 44.11369557551132, 0.0528, 0.0122, 0.0267, -0.1320, 0.0000, 9.8316
1810.526123046875, 52.65160035104066, 0.0720, 0.0111, 0.0013, -0.1110, -0.0010, 9.8062
1846.801025390625, 58.35457382039432, 0.0587, 0.0239, 0.0096, -0.1238, 0.0114, 9.8146
1878.98095703125, 61.53811937142138, 0.0533, 0.0118, 0.0036, -0.1282, -0.0009, 9.8086
1911.530029296875, 64.54831642448208, 0.0684, 0.0333, 0.0030, -0.1113, 0.0205, 9.8080
1947.27197265625, 65.46236245715957, 0.0303, -0.0245, -0.0084, -0.1486, -0.0373, 9.7966
1980.22998046875, 66.12191754289319, 0.0540, 0.0081, 0.0332, -0.1239, -0.0052, 9.8382
2012.29296875, 66.80746613873019, 0.0722, 0.0460, 0.0336, -0.1055, 0.0316, 9.8387
2045.09521484375, 70.11593039182627, 0.0325, -0.0321, 0.0203, -0.1450, -0.0473, 9.8254
2078.60205078125, 240.4973973142956, 0.0607, 0.0263, 0.0445, -0.1149, 0.0114, 9.8496
2112.489990234375, 249.95476875917765, 0.0493, 0.0275, 0.0126, -0.1243, 0.0138, 9.8177
2145.302001953125, 246.39800217955707, 0.0520, -0.0147, 0.0270, -0.1206, -0.0281, 9.8321
2179.27490234375, 211.54044995097826, 0.0368, -0.0029, -0.0433, -0.1330, -0.0147, 9.7619
2212.7138671875, 70.87760491425814, 0.0462, 0.0252, 0.0251, -0.1209, 0.0150, 9.8303
2241.60400390625, 59.587575216306, 0.0587, -0.0104, 0.0196, -0.1062, -0.0199, 9.8249
2280.759033203125, 63.34228293878338, 0.0240, 0.0008, 0.0232, -0.1395, -0.0082, 9.8285
