Workout date, 2022-04-30 15:52:35 
Duration, 68
Calories burned, 0
Mean heart rate,  71.63
Maximum heart rate, 84
Notes, Resting heart rate: 67 - 72 - 84

Time (seconds), Rate (beats per minute)
     1.0, 84
     2.0, 82
     3.0, 82
     4.1, 82
     5.0, 81
     6.0, 80
     7.0, 79
     8.0, 78
     9.0, 77
    10.0, 76
    11.0, 76
    12.0, 75
    13.0, 74
    14.0, 74
    15.0, 74
    16.0, 73
    17.0, 72
    18.0, 72
    19.0, 71
    20.1, 70
    21.0, 70
    22.5, 70
    23.0, 69
    24.5, 69
    25.5, 69
    26.5, 69
    27.5, 68
    28.4, 68
    29.5, 67
    30.4, 67
    31.4, 67
    32.4, 67
    33.4, 67
    34.4, 68
    35.4, 67
    36.4, 67
    37.3, 67
    38.3, 68
    39.3, 68
    40.3, 67
    41.8, 68
    42.3, 68
    43.3, 67
    44.3, 67
    45.3, 68
    46.3, 68
    47.2, 69
    48.2, 69
    49.2, 69
    50.7, 70
    51.2, 70
    52.2, 71
    53.2, 72
    54.2, 73
    55.2, 74
    56.2, 74
    57.1, 73
    58.1, 73
    59.1, 73
    61.1, 74
    61.6, 74
    62.1, 74
    63.1, 74
    64.6, 73
    65.1, 72
    66.6, 72
    67.0, 72
    68.0, 71
