timestamp , luminance, accX, accY , accZ, accXwithG, accYwithG, accZwithG
984.435791015625, 249.68461653061735, -1.1888, -0.9191, 0.0167, 6.7919, -3.0897, 5.2861
1018.186767578125, 30.562413355105964, -0.5342, -0.1239, 0.2471, 7.6363, -2.1732, 5.2684
1052.152099609375, 37.248718840787134, -0.5102, -2.7427, -0.1033, 7.8359, -4.6211, 4.6908
1086.39599609375, 39.96623756736133, -0.4998, -2.3971, -0.4526, 8.0870, -4.0229, 3.9964
1119.64697265625, 46.87040650611905, -0.0672, -4.0898, 0.1127, 8.8186, -5.3822, 4.0550
1152.762939453125, 59.07468527340849, 0.5380, -3.4615, 0.2813, 9.7215, -4.4013, 3.5904
1187.650146484375, 67.76362039187823, 2.3417, -2.1863, -1.4384, 11.7774, -2.8039, 1.1612
1218.529052734375, 67.36443586941273, 2.3299, -2.4538, -0.7328, 11.9981, -2.6719, 0.8947
1253.780029296875, 64.37832399999577, 3.6390, -1.0469, -0.2634, 13.4066, -0.9955, 0.6092
1287.8349609375, 75.07806408162462, 5.3858, 2.5979, -1.9060, 15.1821, 3.0370, -1.7998
1320.761962890625, 86.05124538773318, 3.3504, 0.5313, -0.1929, 13.0952, 1.5514, -0.6018
1354.5390625, 86.7931689877774, 2.7833, -0.1624, -2.8300, 12.4463, 1.3029, -3.6369
1385.8359375, 89.29562714292975, -0.0817, -2.6261, -1.2727, 9.4936, -0.7233, -2.2019
1420.778076171875, 77.43545928980765, -2.8122, -2.9411, -2.3944, 6.8085, -1.0614, -2.6767
1453.2509765625, 79.35660320820197, -1.3032, -2.9628, -3.0898, 8.3960, -1.5498, -2.7759
1488.3779296875, 76.53079817142213, -4.4245, 0.2013, -0.7546, 5.3069, 1.3277, -0.3056
1520.323974609375, 69.64422374698754, -3.0688, 1.3266, 0.8417, 6.6801, 2.3339, 1.1797
1553.14501953125, 67.50311911027252, -3.5204, 1.1812, 3.1259, 6.2302, 2.1120, 3.6063
1586.595947265625, 68.80532855512112, -1.8637, 2.0527, 3.2579, 7.8795, 2.8280, 4.0582
1620.55810546875, 73.08257735508872, -2.3385, 3.2094, 2.9433, 7.3798, 4.1155, 3.8936
1653.218994140625, 70.25841077557922, -2.9082, 2.8856, 3.7532, 6.7753, 4.1809, 4.6032
1687.200927734375, 68.26252245720443, -1.4739, 1.8405, 2.1325, 8.1520, 3.5841, 2.8202
1722.537841796875, 66.91561737147813, 2.6345, 1.2962, 3.8205, 12.1618, 3.6158, 3.9661
1751.299072265625, 65.01720453057968, 4.9050, 4.3736, 4.6529, 14.2825, 7.2354, 4.4459
1790.39697265625, 61.280672448983886, 8.9972, 2.3805, 2.3499, 18.1084, 5.8975, 1.4623
1818.41796875, 63.1646430856651, 5.7661, 2.5185, 2.0224, 14.7594, 6.2604, 0.8868
1856.1162109375, 62.622040481599164, 3.9785, 1.3951, -2.5468, 12.6381, 5.7248, -4.1071
1886.623046875, 65.25621808165072, 3.2420, 0.8100, -1.5428, 11.7904, 5.3109, -3.2271
1920.4072265625, 69.06847687348389, 1.0145, -3.0250, -2.7685, 9.3019, 1.8700, -4.6465
1955.612060546875, 69.62988735511992, -1.7446, -4.7438, -4.5609, 6.3217, 0.3922, -6.7349
1985.68994140625, 68.69448908576884, -5.1372, -9.2239, -5.0674, 2.6438, -3.9341, -7.8322
2020.755126953125, 70.16788736324452, -4.5955, -12.7480, -5.8816, 2.6921, -7.2432, -9.4534
2054.098876953125, 67.13392202453225, -3.8551, -11.3560, -8.6203, 2.9772, -6.1803, -13.3851
